age,qx_male,qx_female
0,0.00305,0.00268
1,0.00019,0.00017
2,0.00012,0.00011
3,0.00010,0.00009
4,0.00009,0.00008
5,0.00008,0.00007
6,0.00008,0.00007
7,0.00008,0.00007
8,0.00008,0.00007
9,0.00008,0.00007
10,0.00008,0.00007
11,0.00008,0.00008
12,0.00009,0.00008
13,0.00009,0.00008
14,0.00010,0.00008
15,0.00012,0.00009
16,0.00017,0.00010
17,0.00023,0.00011
18,0.00030,0.00013
19,0.00036,0.00014
20,0.00041,0.00015
21,0.00044,0.00015
22,0.00046,0.00015
23,0.00048,0.00016
24,0.00050,0.00016
25,0.00052,0.00017
26,0.00054,0.00018
27,0.00056,0.00019
28,0.00058,0.00020
29,0.00061,0.00022
30,0.00064,0.00024
31,0.00068,0.00026
32,0.00072,0.00028
33,0.00077,0.00031
34,0.00082,0.00034
35,0.00088,0.00037
36,0.00094,0.00041
37,0.00101,0.00045
38,0.00108,0.00049
39,0.00116,0.00053
40,0.00124,0.00058
41,0.00133,0.00063
42,0.00143,0.00069
43,0.00154,0.00075
44,0.00167,0.00082
45,0.00181,0.00090
46,0.00197,0.00098
47,0.00215,0.00108
48,0.00235,0.00118
49,0.00258,0.00129
50,0.00283,0.00141
51,0.00311,0.00154
52,0.00342,0.00168
53,0.00377,0.00184
54,0.00416,0.00201
55,0.00460,0.00220
56,0.00509,0.00241
57,0.00562,0.00264
58,0.00621,0.00289
59,0.00686,0.00317
60,0.00756,0.00347
61,0.00833,0.00380
62,0.00917,0.00416
63,0.01009,0.00456
64,0.01109,0.00499
65,0.01218,0.00546
66,0.01337,0.00598
67,0.01467,0.00655
68,0.01609,0.00718
69,0.01764,0.00788
70,0.01933,0.00866
71,0.02118,0.00953
72,0.02320,0.01051
73,0.02541,0.01161
74,0.02784,0.01286
75,0.03050,0.01428
76,0.03342,0.01590
77,0.03664,0.01775
78,0.04019,0.01988
79,0.04412,0.02233
80,0.04848,0.02515
81,0.05331,0.02841
82,0.05867,0.03216
83,0.06463,0.03646
84,0.07124,0.04141
85,0.07857,0.04709
86,0.08669,0.05358
87,0.09568,0.06099
88,0.10561,0.06940
89,0.11656,0.07895
90,0.12861,0.08973
91,0.14186,0.10186
92,0.15639,0.11545
93,0.17229,0.13061
94,0.18963,0.14744
95,0.20850,0.16603
96,0.22898,0.18648
97,0.25115,0.20887
98,0.27509,0.23326
99,0.30089,0.25972
100,0.32858,0.28825
101,0.35820,0.31883
102,0.38977,0.35141
103,0.42333,0.38591
104,0.45890,0.42223
105,0.49650,0.46024
106,0.53614,0.49976
107,0.57785,0.54061
108,0.62163,0.58258
109,0.66751,0.62546
110,1.00000,1.00000
